"coc_number","total_population","total_pop_in_poverty"
"AK-500",299321,23652
"AK-501",437534,49174
"AL-500",951623,145559
"AL-501",613801,104184
"AL-502",266276,48791
"AL-503",559785,76749
"AL-504",384515,70305
"AL-505",NA,NA
"AL-506",202471,34470
"AL-507",1523472,323080
"AR-500",586996,89325
"AR-501",514338,76277
"AR-503",858639,171367
"AR-504",357191,70612
"AR-505",307730,67743
"AR-508",NA,NA
"AR-512",102685,16942
"AZ-500",1631977,312052
"AZ-501",1003338,186299
"AZ-502",4093262,667285
"CA-500",1885056,172213
"CA-501",850282,104180
"CA-502",1605217,189590
"CA-503",1479300,260877
"CA-504",497776,55095
"CA-505",1107925,111922
"CA-506",488252,72513
"CA-507",259358,20445
"CA-508",270931,39211
"CA-509",87409,17366
"CA-510",530561,95739
"CA-511",714860,124587
"CA-512",754748,57490
"CA-513",606030,155791
"CA-514",1116526,286915
"CA-515",469210,43767
"CA-516",313187,53404
"CA-517",140823,12086
"CA-518",429596,53265
"CA-519",223877,46456
"CA-520",265001,62661
"CA-521",209671,38898
"CA-522",135182,27641
"CA-523",62517,11044
"CA-524",169303,31615
"CA-525",183000,17839
"CA-526",153259,19350
"CA-527",63015,13363
"CA-529",64076,15561
"CA-530",33561,3348
"CA-600",9246562,1619264
"CA-601",3253356,444024
"CA-602",3132211,385556
"CA-603",439395,66880
"CA-604",871337,194354
"CA-606",475317,94233
"CA-607",137381,21680
"CA-608",2323892,376689
"CA-609",2106754,392195
"CA-611",843110,88486
"CA-612",197895,28904
"CA-613",178807,40552
"CA-614",278680,37208
"CO-500",1683718,230698
"CO-503",2997276,330327
"CO-504",665171,73012
"CT-503",857728,72567
"CT-505",2736355,287998
"DC-500",659009,112060
"DE-500",934695,109448
"FL-500",751422,93375
"FL-501",1323059,213566
"FL-502",939548,130727
"FL-503",637691,110225
"FL-504",613723,97113
"FL-505",257326,33178
"FL-506",437469,85641
"FL-507",2010922,325373
"FL-508",412544,94448
"FL-509",592070,90005
"FL-510",1178423,176197
"FL-511",473477,62003
"FL-512",218362,19372
"FL-513",560683,77357
"FL-514",340341,60266
"FL-515",301679,49482
"FL-517",252514,56906
"FL-518",134955,26000
"FL-519",488310,65101
"FL-520",748425,104269
"FL-600",2664418,522143
"FL-601",1863780,265521
"FL-602",169642,20511
"FL-603",680970,104219
"FL-604",77146,9811
"FL-605",1398757,191207
"FL-606",348236,45375
"GA-500",453856,100747
"GA-501",6847767,1188989
"GA-502",577110,67976
"GA-503",122037,39327
"GA-504",201418,48495
"GA-505",258939,52429
"GA-506",728388,83479
"GA-507",282613,48550
"GA-508",693150,130634
"GU-500",NA,NA
"HI-500",426583,58207
"HI-501",986999,90359
"IA-500",123123,17357
"IA-501",2438112,288488
"IA-502",472853,56588
"ID-500",425798,51101
"ID-501",1209685,193484
"IL-500",300995,23153
"IL-501",342552,49994
"IL-502",728734,63756
"IL-503",206420,41161
"IL-504",266759,34400
"IL-506",800973,61478
"IL-507",397388,48650
"IL-508",273315,46597
"IL-509",104458,18001
"IL-510",2716350,576551
"IL-511",2499324,278244
"IL-512",533328,75697
"IL-513",198639,29600
"IL-514",917342,62502
"IL-515",403649,55131
"IL-516",108404,19626
"IL-517",588127,60757
"IL-518",660512,86070
"IL-519",225019,31811
"IL-520",579396,90552
"IN-502",5657436,770108
"IN-503",932142,187586
"KS-502",508221,75476
"KS-503",178567,25190
"KS-505",572428,34189
"KS-507",1477299,201898
"KY-500",3340736,628537
"KY-501",759724,119158
"KY-502",311529,56444
"LA-500",654560,127286
"LA-502",484360,101058
"LA-503",818126,166654
"LA-505",355614,90451
"LA-506",566390,88677
"LA-507",308153,59551
"LA-508",351937,59158
"LA-509",1106530,196735
"MA-500",658279,129846
"MA-502",92074,18330
"MA-503",242534,20060
"MA-504",468072,80119
"MA-505",94988,21888
"MA-506",813589,89860
"MA-507",360514,43332
"MA-508",109871,22577
"MA-509",108757,12925
"MA-510",597951,45738
"MA-510_&_MA-516_Shared_Jurisdiction",885396,44922
"MA-511",655607,53327
"MA-515",88902,19282
"MA-516",1070716,99947
"MA-517",123915,12515
"MA-519",370978,26168
"MD-500",73060,11430
"MD-501",621000,137964
"MD-502",249776,19012
"MD-503",559737,33168
"MD-504",308447,15109
"MD-505",825666,74876
"MD-506",167535,9383
"MD-507",102175,10729
"MD-508",355559,25477
"MD-509",243465,16995
"MD-510",29677,3666
"MD-511",171303,20315
"MD-512",149571,18166
"MD-513",178867,25912
"MD-600",897693,84744
"MD-601",1026371,69889
"ME-500",1329923,174405
"MI-500",2363563,371731
"MI-501",683443,264796
"MI-502",1084150,163393
"MI-503",859703,102536
"MI-504",1235215,117008
"MI-505",413090,85283
"MI-506",629352,92049
"MI-507",258605,43657
"MI-508",286362,59369
"MI-509",358082,51476
"MI-510",195201,33795
"MI-511",98673,13434
"MI-512",170415,18248
"MI-513",76814,11499
"MI-514",134691,22245
"MI-515",149945,16078
"MI-516",172148,32351
"MI-517",159483,25032
"MI-518",185841,10972
"MI-519",283503,27799
"MI-523",108544,11895
"MN-500",1209265,141453
"MN-501",531528,82252
"MN-502",716694,77035
"MN-503",1253072,79971
"MN-504",125426,16382
"MN-505",726642,71494
"MN-506",170266,22371
"MN-508",239644,25976
"MN-509",200353,29875
"MN-511",277978,30387
"MO-500",1000560,100613
"MO-501",316030,81916
"MO-503",467432,34629
"MO-600",404577,66817
"MO-602",176117,28687
"MO-603",119468,18516
"MO-604",1001482,165489
"MO-606",2735762,437497
"MP-500",NA,NA
"MS-500",570931,105740
"MS-501",1936338,450472
"MS-503",481923,89341
"MT-500",1023391,148677
"NC-500",364691,69253
"NC-501",250112,35996
"NC-502",294618,48907
"NC-503",5053002,891866
"NC-504",511815,87165
"NC-505",1011774,141024
"NC-506",391955,65463
"NC-507",998576,105133
"NC-509",388649,67585
"NC-511",325841,55235
"NC-513",139807,18713
"NC-516",209988,45364
"ND-500",736162,79314
"NE-500",893187,98464
"NE-501",808911,96687
"NE-502",251662,39265
"NH-500",922555,75459
"NH-501",110231,15688
"NH-502",294717,18543
"NJ-500",274026,41469
"NJ-501",930310,69119
"NJ-502",450236,28440
"NJ-503",1053579,126282
"NJ-504",792586,132940
"NJ-506",668526,115156
"NJ-507",831852,71749
"NJ-508",627532,47318
"NJ-509",498215,22483
"NJ-510",586166,64770
"NJ-511",507204,83738
"NJ-512",64504,8692
"NJ-513",331686,16924
"NJ-514",371101,39606
"NJ-515",550436,58464
"NJ-516",377497,22191
"NM-500",524815,100839
"NM-501",1557854,325975
"NV-500",2070153,307146
"NV-501",439914,65024
"NV-502",329105,45087
"NY-500",749236,107724
"NY-501",316551,46358
"NY-503",307891,37749
"NY-504",78506,13265
"NY-505",667346,97879
"NY-507",154845,18055
"NY-508",1273493,176399
"NY-510",104268,18133
"NY-511",452488,67799
"NY-512",159959,19064
"NY-513",261466,28930
"NY-514",131748,24410
"NY-516",81505,11865
"NY-518",308074,45154
"NY-519",109929,13431
"NY-520",89605,12344
"NY-522",256602,39093
"NY-523",357002,29425
"NY-600",8461961,1689759
"NY-601",295905,25562
"NY-602",376242,46342
"NY-603",2854931,186781
"NY-604",972484,92842
"NY-606",322642,46128
"NY-607",75818,12479
"NY-608",180505,22480
"OH-500",809554,140528
"OH-501",434800,87717
"OH-502",1258710,227740
"OH-503",1272193,207761
"OH-504",233015,40823
"OH-505",536856,96132
"OH-506",541372,75894
"OH-507",6125679,804710
"OH-508",374762,51534
"OK-500",314238,52374
"OK-501",683162,105104
"OK-502",621561,105912
"OK-503",661323,87438
"OK-504",200143,28213
"OK-505",440915,76551
"OK-506",408443,62103
"OK-507",541012,102658
"OR-500",360273,69588
"OR-501",778193,130564
"OR-502",210916,37595
"OR-503",214452,31734
"OR-505",1459378,246765
"OR-506",564088,61817
"OR-507",394967,36160
"PA-500",1559938,392356
"PA-501",271962,35950
"PA-502",562316,58737
"PA-503",318917,48174
"PA-504",815876,52250
"PA-505",512028,35883
"PA-506",414097,57329
"PA-508",213006,31288
"PA-509",3104479,369061
"PA-510",533110,55977
"PA-511",626220,36635
"PA-512",440604,45113
"PA-600",1230360,152390
"PA-601",1732726,214131
"PA-603",169205,18036
"PA-605",279133,44452
"PR-502",NA,NA
"PR-503",NA,NA
"RI-500",1054491,140161
"SC-500",988953,141846
"SC-501",1467009,243770
"SC-502",1481381,236789
"SC-503",897262,184017
"SD-500",851058,115300
"TN-500",679721,112039
"TN-501",936990,196471
"TN-502",448164,70612
"TN-503",1123984,141641
"TN-504",667885,114238
"TN-506",563185,97708
"TN-507",670222,125139
"TN-509",506941,92738
"TN-510",290289,35764
"TN-512",660628,113819
"TX-500",1885702,314980
"TX-503",1221863,176368
"TX-600",3624796,538400
"TX-601",2056662,287141
"TX-603",833592,183925
"TX-604",356567,67457
"TX-607",10504126,1802234
"TX-611",188456,30638
"TX-624",329699,50787
"TX-700",5628844,875170
"TX-701",326128,70207
"UT-500",1097677,122684
"UT-503",1224828,141656
"UT-504",625922,74468
"VA-500",1050134,121103
"VA-501",628710,85398
"VA-502",278230,38471
"VA-503",449733,35924
"VA-504",244137,30507
"VA-505",484270,61058
"VA-507",96071,16897
"VA-508",258062,37463
"VA-513",359806,46100
"VA-514",351482,26989
"VA-521",1698956,268349
"VA-600",226092,19528
"VA-601",1170104,69086
"VA-602",362435,14313
"VA-603",151473,14688
"VA-604",500606,35790
"VI-500",NA,NA
"VT-500",465739,52338
"VT-501",160510,17335
"WA-500",2085371,219373
"WA-501",2209995,320431
"WA-502",485859,73462
"WA-503",827075,103506
"WA-504",758649,69695
"WA-507",247681,50081
"WA-508",458516,46708
"WI-500",4087801,427821
"WI-501",955306,198227
"WI-502",194873,23751
"WI-503",516818,63673
"WV-500",145047,21703
"WV-501",137860,28815
"WV-503",279057,43488
"WV-508",1284128,224054
"WY-500",583029,65762
